id2,firmid,brndid,sizeid,cityid,yearid,montid,price,quantity,msize,miles,calor_raw,dist,distbutfor,yearcityid,fiscid,prodid,dateid,fisccity,coalid,leadid,import,cdid,share,inshr,outshr,logcondshr,logodds,calor,mcpost,mpost,cpost,apost
10102010104,1,1,2,1,1,4,15.158729213881829,21308.520134282655,317712.8671875,0.04209999740123749,110,0.12458939105272293,0.12458939105272293,1,2006,1,1,1,1,1,0,1,0.06706848332241865,0.25969442748202537,0.7403055725179746,-1.353791424415344,-2.401348800295753,-0.10499999999999998,0,0,0,0
10103010104,1,1,3,1,1,4,15.073769908109616,12732.056175114994,317712.8671875,0.04209999740123749,110,0.12458939105272293,0.12458939105272293,1,2006,2,1,1,1,1,0,1,0.04007409673968634,0.25969442748202537,0.7403055725179746,-1.8687755019235186,-2.9163328778039275,-0.10499999999999998,0,0,0,0
40402010104,4,4,2,1,1,4,9.967370477166526,6619.51153366694,317712.8671875,0.5410000085830688,102,1.6010181903839111,1.6010181903839111,1,2006,3,1,1,1,0,0,1,0.02083488651959569,0.25969442748202537,0.7403055725179746,-2.522876842682462,-3.570434218562871,-0.18500000000000005,0,0,0,0
40403010104,4,4,3,1,1,4,9.956284214422764,3237.561561063892,317712.8671875,0.5410000085830688,102,1.6010181903839111,1.6010181903839111,1,2006,4,1,1,1,0,0,1,0.010190212281056994,0.25969442748202537,0.7403055725179746,-3.2380779816085763,-4.285635357488985,-0.18500000000000005,0,0,0,0
20502010104,2,5,2,1,1,4,15.868662531922448,4912.871838539945,317712.8671875,1.2999999523162842,148,3.8471782207489014,3.8471782207489014,1,2006,5,1,1,0,0,1,1,0.015463244790902934,0.25969442748202537,0.7403055725179746,-2.821039756799366,-3.868597132679775,0.2749999999999999,0,0,0,0
30702010104,3,7,2,1,1,4,15.320163581988163,4576.16133278872,317712.8671875,0.3179999887943268,166,0.9410790205001831,0.9410790205001831,1,2006,6,1,1,0,0,1,1,0.014403449798235816,0.25969442748202537,0.7403055725179746,-2.8920379137066297,-3.9395952895870385,0.45499999999999985,0,0,0,0
51302010104,5,13,2,1,1,4,15.24763926795991,16953.486781458516,317712.8671875,0.18299999833106995,113,0.5415643453598022,0.5415643453598022,1,2006,7,1,1,1,0,0,1,0.05336103297148907,0.25969442748202537,0.7403055725179746,-1.5824249009622227,-2.6299822768426315,-0.07500000000000018,0,0,0,0
51303010104,5,13,3,1,1,4,14.930615929461172,12168.091791014911,317712.8671875,0.18299999833106995,113,0.5415643453598022,0.5415643453598022,1,2006,8,1,1,1,0,0,1,0.03829902105863986,0.25969442748202537,0.7403055725179746,-1.9140813248850619,-2.9616387007654708,-0.07500000000000018,0,0,0,0
10102020104,1,1,2,2,1,4,14.583944911035271,16001.473696701032,344245.5,0.1420000046491623,110,0.42023026943206787,0.42023026943206787,2,2006,1,1,5,1,1,0,2,0.046482738907846384,0.17351781576814346,0.8264821842318566,-1.3171992412615008,-2.8780973239540875,-0.10499999999999998,0,0,0,0
10103020104,1,1,3,2,1,4,13.366750240079774,13108.006923263412,344245.5,0.1420000046491623,110,0.42023026943206787,0.42023026943206787,2,2006,2,1,5,1,1,0,2,0.03807749679593027,0.17351781576814346,0.8264821842318566,-1.516656806296323,-3.0775548889889097,-0.10499999999999998,0,0,0,0
40402020104,4,4,2,2,1,4,9.41978300946928,4819.937312828581,344245.5,0.621999979019165,102,1.8407268524169922,1.8407268524169922,2,2006,3,1,5,1,0,0,2,0.014001453360548158,0.17351781576814346,0.8264821842318566,-2.5171191429628843,-4.07801722565547,-0.18500000000000005,0,0,0,0
