market_ids,product_ids,firm_ids,shares,prices,calor,sizeid,import,msize,inshr,outshr,logcondshr,logodds,firmid,brndid,cityid,yearid,montid,fiscid,fisccity,coalid,leadid,mpost,cpost,apost,mcpost,dist,distbutfor,coalpost,num_products,sum_dist,sumdist_abi,sumdist_mc,z_inc_const,z_inc_calor,z_inc_size,z_inc_import,mean_income
1,1,1,0.06706848332241865,15.158729213881829,-0.10499999999999998,2,0,317712.8671875,0.25969442748202537,0.7403055725179746,-1.353791424415344,-2.401348800295753,1,1,1,1,4,2006,1,1,1,0,0,0,0,0.12458939105272293,0.12458939105272293,0,8,9.322601094841957,9.322601094841957,0,-0.2927229161124978,0.030735906191812264,-0.5854458322249956,-0,-0.2927229161124978
1,2,1,0.04007409673968634,15.073769908109616,-0.10499999999999998,3,0,317712.8671875,0.25969442748202537,0.7403055725179746,-1.8687755019235186,-2.9163328778039275,1,1,1,1,4,2006,1,1,1,0,0,0,0,0.12458939105272293,0.12458939105272293,0,8,9.322601094841957,9.322601094841957,0,-0.2927229161124978,0.030735906191812264,-0.8781687483374934,-0,-0.2927229161124978
1,3,4,0.02083488651959569,9.967370477166526,-0.18500000000000005,2,0,317712.8671875,0.25969442748202537,0.7403055725179746,-2.522876842682462,-3.570434218562871,4,4,1,1,4,2006,1,1,0,0,0,0,0,1.6010181903839111,1.6010181903839111,0,8,9.322601094841957,0,9.322601094841957,-0.2927229161124978,0.054153739480812105,-0.5854458322249956,-0,-0.2927229161124978
1,4,4,0.010190212281056994,9.956284214422764,-0.18500000000000005,3,0,317712.8671875,0.25969442748202537,0.7403055725179746,-3.2380779816085763,-4.285635357488985,4,4,1,1,4,2006,1,1,0,0,0,0,0,1.6010181903839111,1.6010181903839111,0,8,9.322601094841957,0,9.322601094841957,-0.2927229161124978,0.054153739480812105,-0.8781687483374934,-0,-0.2927229161124978
1,5,2,0.015463244790902934,15.868662531922448,0.2749999999999999,2,1,317712.8671875,0.25969442748202537,0.7403055725179746,-2.821039756799366,-3.868597132679775,2,5,1,1,4,2006,1,0,0,0,0,0,0,3.8471782207489014,3.8471782207489014,0,8,9.322601094841957,0,0,-0.2927229161124978,-0.08049880193093686,-0.5854458322249956,-0.2927229161124978,-0.2927229161124978
1,6,3,0.014403449798235816,15.320163581988163,0.45499999999999985,2,1,317712.8671875,0.25969442748202537,0.7403055725179746,-2.8920379137066297,-3.9395952895870385,3,7,1,1,4,2006,1,0,0,0,0,0,0,0.9410790205001831,0.9410790205001831,0,8,9.322601094841957,0,0,-0.2927229161124978,-0.13318892683118644,-0.5854458322249956,-0.2927229161124978,-0.2927229161124978
1,7,5,0.05336103297148907,15.24763926795991,-0.07500000000000018,2,0,317712.8671875,0.25969442748202537,0.7403055725179746,-1.5824249009622227,-2.6299822768426315,5,13,1,1,4,2006,1,1,0,0,0,0,0,0.5415643453598022,0.5415643453598022,0,8,9.322601094841957,0,9.322601094841957,-0.2927229161124978,0.021954218708437386,-0.5854458322249956,-0,-0.2927229161124978
1,8,5,0.03829902105863986,14.930615929461172,-0.07500000000000018,3,0,317712.8671875,0.25969442748202537,0.7403055725179746,-1.9140813248850619,-2.9616387007654708,5,13,1,1,4,2006,1,1,0,0,0,0,0,0.5415643453598022,0.5415643453598022,0,8,9.322601094841957,0,9.322601094841957,-0.2927229161124978,0.021954218708437386,-0.8781687483374934,-0,-0.2927229161124978
2,1,1,0.046482738907846384,14.583944911035271,-0.10499999999999998,2,0,344245.5,0.17351781576814346,0.8264821842318566,-1.3171992412615008,-2.8780973239540875,1,1,2,1,4,2006,5,1,1,0,0,0,0,0.42023026943206787,0.42023026943206787,0,8,10.715871334075928,10.715871334075928,0,-10.144903154312498,1.065214831202812,-20.289806308624996,-0,-10.144903154312498
2,2,1,0.03807749679593027,13.366750240079774,-0.10499999999999998,3,0,344245.5,0.17351781576814346,0.8264821842318566,-1.516656806296323,-3.0775548889889097,1,1,2,1,4,2006,5,1,1,0,0,0,0,0.42023026943206787,0.42023026943206787,0,8,10.715871334075928,10.715871334075928,0,-10.144903154312498,1.065214831202812,-30.434709462937494,-0,-10.144903154312498
