temp1_1;temp1_2;temp1_3;temp1_4;temp1_5;temp1_6;temp1_7;temp1_8
0;0.78;1.04;1.09;1.33;1.65;2.02;5.26
0;0.9;1.18;1.25;1.51;1.87;2.28;5.84
0;1.43;1.92;2.03;2.49;3.16;3.94;5.45
0;1.59;2.15;2.27;2.79;3.53;4.4;6.04
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0.006;0.022;0.105
